backend,target,feature,n_positive,n_other,mean_positive,mean_other,difference,cohens_d,ci_low,ci_high,split_scope,status,used_sealed_test
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,top1_score,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,top2_score,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,margin,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,entropy,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,complexity_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,ambiguity_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,open_set_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,unknown_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,missingness,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,hypothesis_disagreement,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,retriever_disagreement,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,retrieval_calls,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,latency_ms,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,RESCUE,compute_proxy,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,top1_score,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,top2_score,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,margin,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,entropy,0,0,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,complexity_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,ambiguity_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
neural|wdi-ci-2026-08-26-6ead85fe,OVERTHINKING,open_set_score,0,30,,,,,,,calibration+development,EXPLORATORY,False
